reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
LEUTRS,b0642,leuS,,,,,,,,,,,,,,,,,,,,,
LEUt2rpp,b0401,brnQ,,,,,,,,,,,,,,,,,,,,,
LGTHL,b1651,gloA,,,,,,,,,,,,,,,,,,,,,
LIPACabcpp,b0914,msbA,,,,,,,,,,,,,,,,,,,,,
LIPAHT2ex,b0622,pagP,,,,,,,,,,,,,,,,,,,,,
LIPAHTex,b0622,pagP,,,,,,,,,,,,,,,,,,,,,
LIPAMPL,b4386,lplA,,,,,,,,,,,,,,,,,,,,,
LIPATPT,b4386,lplA,,,,,,,,,,,,,,,,,,,,,
LIPAabcpp,b0914,msbA,,,,,,,,,,,,,,,,,,,,,
LIPOCT,b0630,lipB,,,,,,,,,,,,,,,,,,,,,
LIPOS,b0628,lipA,,,,,,,,,,,,,,,,,,,,,
LPADSS,b0182,lpxB,358009608422400,390555936460800,553287576652800,650926560768000,683472888806400,943843513113600,1008936169190400,1139121481344000,1269306793497600,1301853121536000,1301853121536000,1301853121536000,1529677417804800,1529677417804800,1594770073881600,1627316401920000,1627316401920000,1790048042112000,1952779682304000,2115511322496000,2115511322496000
LPLIPAL1A120pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1A140pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1A141pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1A160pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1A161pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
