reactions,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
EX_alaala_e,nan,nan,152163458911.9955,165996502212.57867,235797457717.48624,276660834328.8466,0.0,402242719861.7238,0.0,484156460974.011,540421729712.4642,582955373864.7777,0.0,553321670293.4802,674182294233.715,0.0,677819047546.0575,0.0,0.0,0.0,0.0,0.0,0.0
EX_all_D_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_alltn_e,nan,nan,162807723685.36993,177608427740.10492,257936631522.73398,296014045507.26556,0.0,440009548333.6271,0.0,518024578055.9028,553275644125.9363,637622542067.6034,0.0,592028090160.2192,742609362052.5294,0.0,725234417174.1495,0.0,0.0,0.0,0.0,0.0,0.0
EX_amp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_anhgm_e,nan,nan,137253125735.50996,149118664264.63586,207940462889.14853,248531105430.87802,0.0,353351411394.6929,0.0,434929434768.7963,635666984544.6221,496652460707.7046,0.0,497062210250.331,577742253840.9222,0.0,608901208310.6786,0.0,0.0,0.0,0.0,0.0,0.0
EX_arab_L_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arbt_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arbtn_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arbtn_fe3_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arg_L_e,nan,nan,191341575983.2623,208736266515.45694,297244469512.0312,347893778565.4067,0.0,507064092256.8981,0.0,608814109483.1193,667598963963.8453,746152366713.2372,0.0,695787555032.1774,929737569015.5887,0.0,852339750747.3248,0.0,0.0,0.0,0.0,0.0,0.0
EX_ascb_L_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_asn_L_e,nan,nan,480657189130.2238,524353306806.4152,746404690864.3375,873922172548.9766,0.0,1273278580232.032,0.0,1529363795537.1184,1704086855173.6626,1901385917750.2366,0.0,1747844344652.2246,2702897727816.9814,0.0,2141109330153.363,27581.741160499772,27581.741160499772,-20178.477751625618,0.0,0.0,0.0
EX_aso3_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_asp_L_e,nan,nan,801479305782.8031,874341064815.1846,1223751572316.4353,1457235111627.115,0.0,2087576209993.9568,-21834.86798123732,2550161436584.949,2928864040720.485,3329188556189.354,0.0,2914470212050.671,5755347247310.681,30081.99662972444,3570226056042.4507,41670.92448707777,41670.92448707777,-32526.536099634905,0.0,17063.024789973348,17063.024789973348
EX_btn_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_but_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_butso3_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ca2_e,nan,nan,8360431041573.672,9120470268070.2,13402629231364.77,15200783774680.92,15960822859866.768,22863308583787.555,23561214707706.473,26601371501323.426,27659459585118.066,30988700162161.01,30678279327296.832,30401567603676.812,35695143170136.164,36287513788749.56,37241920161214.51,411239.956435657,411239.956435657,-366984.393129319,-152238.19611537675,-53232.70621097616,-53232.70621097616
EX_cbi_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cbl1_e,nan,nan,8360431041573.672,9120470268070.2,13402629230428.154,15200783774680.92,15960822859866.768,22863308586105.17,23561214707706.473,26601371501323.426,27659459583808.375,30988700166669.293,30678279331805.11,30401567603676.812,35695143170136.164,36287513786439.67,37241920161214.51,411239.956435657,411239.956435657,-366984.393129319,-152238.19611537675,-53232.70621097616,-53232.70621097616
EX_cd2_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cgly_e,nan,nan,168382033326.1117,183689491502.90338,261458917561.13086,306149151085.6286,321456607115.0328,446018151886.23395,474531182040.3281,535761016908.81116,579957875117.9089,612846175718.7855,605567053564.4253,612298301679.0992,709821390437.9045,715514446781.2634,750065422457.7268,0.0,0.0,0.0,0.0,0.0,0.0
EX_chol_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_chtbs_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cit_e,nan,nan,989766162298.1792,1079744911975.2618,1452367551863.78,1799574846451.4165,1889553579655.1355,2477568163800.169,2789340988283.2524,3149255967602.415,4345128669039.702,4702729179194.037,6635383182300.1,3599149702337.4087,10184971753765.15,4405903868148.8125,4408958383964.8545,55418.847317856285,55418.847317856285,0.0,0.0,0.0,0.0
EX_cl_e,nan,nan,8360431043653.735,9120470269017.37,13402629181764.064,15200783831921.564,15960822860015.342,22863308543682.55,23561214707706.473,26601371567736.902,27659459581836.05,30988700186085.914,30678279255130.215,30401567648983.387,35695143059744.195,36287513711267.18,37241920320562.27,401731.09255270043,401731.09255270043,-306439.6738745565,-134334.78833574758,-134058.04921610706,-134058.04921610706
EX_cm_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_co2_e,nan,nan,4.815131323875592e+17,5.133112043574953e+17,6.723020098374934e+17,7.676957801166742e+17,7.994938520864499e+17,1.0538791880389975e+18,1.1174745717853824e+18,1.2446668596650225e+18,1.3703160694092692e+18,1.8637956833230326e+18,1.6729889507201564e+18,1.4036572195146373e+18,2.038851158465309e+18,1.04465691619569e+18,1.6898398672435837e+18,1.721601751214888e+18,1.721601751214888e+18,1.880581439510705e+18,2.0395752333141445e+18,2.1985619743638574e+18,2.1985619743638574e+18
EX_cobalt2_e,nan,nan,8360431038547.227,9120470270373.127,13402629166275.016,15200783804174.996,15960822868874.043,22863308545358.93,23561214742470.203,26601371432546.668,27659459740965.11,30988700151530.14,30678279430247.67,30401567646081.332,35695142966820.53,36287513708749.16,37241920452114.734,270797.4581042877,270797.4581042877,-423814.7124298017,-122671.57247930866,-40232.30637099648,-40232.30637099648
EX_colipa_e,nan,nan,17913449943.560486,19696114171.866722,26616337883.672565,32476186821.88695,34099996238.243816,45404340861.309326,0.0,56833327041.649376,76107097428.20668,62407629717.891235,61437002913.64705,64952374033.7859,71859544211.81378,76194254698.36713,79555503906.99954,0.0,0.0,0.0,0.0,0.0,0.0
EX_colipap_e,nan,nan,34033048518.553635,37126962031.22128,51762175911.26168,61878269991.603935,64972183554.909294,38491273552.20419,0.0,47435918793.67317,61084536135.34104,52586533739.25339,51980916037.17586,54212478522.84283,60724439377.58741,64575445576.941734,66410286609.22302,0.0,0.0,0.0,0.0,0.0,0.0
