reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
GHBDHx_reverse,,,,4487630968484.85,,6909640359166.67,,10241100561388.9,8720707365747.13,,9223536021587.31,6043538621111.11,41626061815652.2,,,,12559250933589.7,2422863077011.49,12674579462500,2419393358571.43,
GHBDHx,,,,4487630968484.85,,6909640359166.67,,10241100561388.9,8720707365747.13,,9223536021587.31,6043538621111.11,41626061815652.2,,,,12559250933589.7,2422863077011.49,12674579462500,2419393358571.43,
PFK_3,5806666666666670,3597174240726980,5000300024620350,3338687563351520,5676666666666670,4576049627787780,6353333333333330,3574224185499440,4469144881769190,6063333333333330,3723549583158100,3732895813300000,5228422873839130,4162181163314450,6313333333333330,5782387429692040,5311014008998970,4887504004090810,5875530936233330,5506473130735480,5253578949595240
PFK_2,5806666666666670,3597174240726980,5000300024620350,3338687563351520,5676666666666670,4576049627787780,6353333333333330,3574224185499440,4469144881769190,6063333333333330,3723549583158100,3732895813300000,5228422873839130,4162181163314450,6313333333333330,5782387429692040,5311014008998970,4887504004090810,5875530936233330,5506473130735480,5253578949595240
PFK,5806666666666670,3597174240726980,5000300024620350,3338687563351520,5676666666666670,4576049627787780,6353333333333330,3574224185499440,4469144881769190,6063333333333330,3723549583158100,3732895813300000,5228422873839130,4162181163314450,6313333333333330,5782387429692040,5311014008998970,4887504004090810,5875530936233330,5506473130735480,5253578949595240
TPI,21966666666666700,24924956230830500,22715869934347000,24226573336439100,19906666666666700,25406846572072800,16613333333333300,21243435416274200,19242304263137200,15886666666666700,23864830341683500,20605617716906100,20237633353541700,21573317878905800,15723333333333300,24350398140111000,23045713115493800,29915958970918200,17928731196699000,19848107810864500,19631982552703300
TPI_reverse,21966666666666700,24924956230830500,22715869934347000,24226573336439100,19906666666666700,25406846572072800,16613333333333300,21243435416274200,19242304263137200,15886666666666700,23864830341683500,20605617716906100,20237633353541700,21573317878905800,15723333333333300,24350398140111000,23045713115493800,29915958970918200,17928731196699000,19848107810864500,19631982552703300
GLYK,4660000000000000,2335557887103810,1839855295692280,2086128441197580,4143333333333330,1593642542882780,2480000000000000,1879221752899170,1665071437962530,1016666666666670,1493404637050480,1569237580732220,40492949187453600,1887894564898610,476666666666667,1428575120795270,1728995333798720,1237741197605980,1543090618872080,1464338596480950,1488283793248100
SHSL1,1666666666666670,240987352511111,644717754380351,258414468122424,2550000000000000,641459308870278,3093333333333330,288278050314167,1490871180426670,3383333333333330,850393986330159,699102420907500,531828906464058,417354733497222,2476666666666670,449214650676129,518863429045641,255878630989655,1043139852142710,938936664156905,588086142377143
MTHFR2,2320000000000000,2017061614342220,4188254222390530,2404160527333940,3400000000000000,4417782708080000,4983333333333330,2957457352820830,8499750009192410,6346666666666670,3468993957551750,4819633502167220,5577751473867250,4850640834178060,6246666666666670,6964550019731400,4347253597250000,6009457291836090,7761189674841670,6863057377674520,8429603840325240
GLYCDx,220000000000000,250065931786032,226647079929474,28655872852727.3,,188264329099722,,262161737087222,263169313470115,,309118000816508,245659361562778,276293986117102,544201427145000,,193790891134839,154143610400513,258581433565977,181307926338750,443249388106429,545410840620714
LALDO2x,220000000000000,250065931786032,226647079929474,28655872852727.3,,188264329099722,,262161737087222,263169313470115,,309118000816508,245659361562778,276293986117102,544201427145000,,193790891134839,154143610400513,258581433565977,181307926338750,443249388106429,545410840620714
ALR4x,220000000000000,250065931786032,226647079929474,28655872852727.3,,188264329099722,,262161737087222,263169313470115,,309118000816508,245659361562778,276293986117102,544201427145000,,193790891134839,154143610400513,258581433565977,181307926338750,443249388106429,545410840620714
APPLDHr,220000000000000,250065931786032,226647079929474,28655872852727.3,,188264329099722,,262161737087222,263169313470115,,309118000816508,245659361562778,276293986117102,544201427145000,,193790891134839,154143610400513,258581433565977,181307926338750,443249388106429,545410840620714
APPLDHr_reverse,220000000000000,250065931786032,226647079929474,28655872852727.3,,188264329099722,,262161737087222,263169313470115,,309118000816508,245659361562778,276293986117102,544201427145000,,193790891134839,154143610400513,258581433565977,181307926338750,443249388106429,545410840620714
PPC,7733333333333330,170303748835873,223440223448772,169642296664242,10243333333333300,177810136518611,12350000000000000,230203730578333,881627837511264,12623333333333300,191623749251111,369466494266111,768783618333044,552729281929444,15936666666666700,1126662158095270,186850097260769,390554065871724,1347807748550830,1201703476144050,1349866498602620
NACODA,1280000000000000,1140973738318100,1997680229091580,1649610627376060,1316666666666670,1307005679396670,1443333333333330,1538027115191940,3343985911651030,1730000000000000,2504668757428890,2319369877908060,2098992905365510,2007726156606670,1980000000000000,3165800786769890,1720757638252310,1642225339592410,4040848327067920,3458923969218330,3841008978961430
