bnumber,reaction,gene_name,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b4006,IMPC_reverse,purH,3.31047641455392e+16,2.4585015474326536e+16,2.9674890555733936e+16,2.30182526133308e+16,1.76861942928626e+16,2414304986421299.5,1.21643830960704e+16,3718351947040566.5,6692523573308800.0,1.12282054796522e+16,2.43632605396464e+16,1.1005188167414398e+16,1.2594507826208798e+16,1.2518234933204698e+16,3230785265174133.0,5709406105465600.0,1626666666666666.8,2093333333333333.2,2980000000000000.0,3886666666666667.0,4773333333333334.0
b0522,AIRC2,purK,3648124435437866.5,2977799569410400.0,3720608504221433.0,3015328024337067.0,2549681072888833.0,411439117287100.0,1863407361899200.0,587556699789000.0,965742134073600.0,1371045061362166.5,3463742807332600.0,1826142758806400.0,1763231883443199.8,1671692825199599.8,684255373082600.0,1118692678314400.0,873333333333333.4,,,1453333333333333.5,
b0523,AIRC3_reverse,purE,3.020412028106346e+16,2.6240025551161336e+16,3.732559800834219e+16,2.53855139452796e+16,4.190177365886363e+16,7857703822022598.0,2.31706477475148e+16,8301131499035998.0,1.4242101512108798e+16,1.3820763740297132e+16,3.17708067818325e+16,1.7150557905929598e+16,1.55968757579728e+16,1.7254356446942998e+16,1.0558127847693798e+16,1.91738545041088e+16,3913333333333333.5,6213333333333334.0,6993333333333334.0,8090000000000000.0,1.0523333333333334e+16
b2587,AKGt2rpp_reverse,kgtP,,,,,,,,,,,,,,,,,1396666666666666.8,1716666666666666.8,1183333333333333.5,730000000000000.0,430000000000000.0
b1325,ALAGLUE_reverse,ycjG,1092370447552000.0,627101773180399.9,953490809812466.8,685086010528266.8,595905541311233.2,1070776737692899.6,1056928276241066.4,734951825862600.1,1134114291625599.8,738917356407466.5,1970845189441733.2,1082550866242400.2,734711824357599.9,656342913956799.9,1362715163100866.5,1114365757608000.0,990000000000000.0,883333333333333.4,583333333333333.4,413333333333333.4,306666666666666.7
b2697,ALATRS,alaS,1.99432392603968e+16,1.4608505734431466e+16,1.6845322083919034e+16,1.57259770317496e+16,1.4827326485175534e+16,2365173911336599.5,6949253001824467.0,2887815178930700.0,4023020416466400.0,7382606713368365.0,1.23829161112099e+16,8214231513769600.0,7111785456899200.0,4013621838008300.0,3173721131737933.0,3634684600977600.0,4646666666666667.0,4746666666666667.0,4660000000000000.0,4576666666666667.0,5296666666666667.0
b4208,DSERt2pp,cycA,,,,,,,,,,,,,,,,,2010000000000000.0,2466666666666667.0,1543333333333333.5,1173333333333333.5,
b0356,FALDH2_reverse,frmA,1.1881795276060798e+16,1.0716939037713068e+16,1.3071158339587966e+16,1.123797283546e+16,5671600546407267.0,3230363336278399.5,6707464261872399.0,6446819662763799.0,1.3641130546985598e+16,6254581303935200.0,1.24915048744956e+16,6324235893545599.0,7409746471255200.0,3864134298348800.0,3162680452811733.0,4184889943617600.0,2240000000000000.0,2280000000000000.0,1796666666666666.8,1550000000000000.0,1480000000000000.0
b1385,ALDD19xr_reverse,feaB,414527192124800.0,382521421853200.0,179934939172533.3,185878555601200.0,63050035864266.67,58469964296099.99,69658942249866.67,77480233452833.34,170360929359999.97,605868277200866.5,133791054831633.31,290592148121600.0,169027785529599.97,58445909361699.98,,133469140477600.0,,,,,
b1300,GGGABADr_reverse,puuC,296603904376533.4,61237386489066.67,97970154208099.98,119145755265599.98,,,144355344202333.3,,,82773235074033.33,,102042557457599.98,54204542299999.99,,,50451568249599.99,,,,,
