abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
dhor-S	(S)-Dihydroorotate	C5H5N2O4	-1	Cytosol	C00337	5988-19-2	34662	
cgly	Cys-Gly	C5H10N2O3S	0	Extra-organism, Cytosol, Periplasm	C01419	19246-18-5	1445980	
dtdp4d6dm	dTDP-4-dehydro-6-deoxy-L-mannose	C16H22N2O15P2	-2	Cytosol	C00688		35704	
2dhglcn	2-Dehydro-D-gluconate	C6H9O7	-1	Cytosol	C00629		35536	
2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H46O9P1	-1	Cytosol, Periplasm			2706854	
oc2coa	trans-Oct-2-enoyl-CoA	C29H44N7O17P3S	-4	Cytosol	C05276		45482	
2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H22N3O17P3	-4	Cytosol	C11436		216335	
gggagicolipa	glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	C169H291N2O94P4	-11	Cytosol			2375067	
pan4p	Pantetheine 4'-phosphate	C11H21N2O7PS	-2	Cytosol	C01134		36886	
pi	Phosphate	HO4P	-2	Extra-organism, Cytosol, Periplasm	C00009	14265-44-2	33499	
kdo	3-Deoxy-D-manno-2-octulosonate	C8H13O8	-1	Cytosol	C01187		37028	
ps180	phosphatidylserine (dioctadecanoyl, n-C18:0)	C42H81N1O10P1	-1	Cytosol	C02737		2617996	
pheme	Protoheme	C34H30FeN4O4	-2	Extra-organism, Cytosol, Periplasm	C00032	14875-96-8	33586	
thymd	Thymidine	C10H14N2O5	0	Extra-organism, Cytosol, Periplasm	C00214	50-89-5	50348	
2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	0	Cytosol	C05812		46550	
gcald	Glycolaldehyde	C2H4O2	0	Cytosol	C00266		34446	
oxam	Oxamate	C2H2NO3	-1	Cytosol	C01444	471-47-6	37602	
octdp	all-trans-Octaprenyl diphosphate	C40H65O7P2	-3	Cytosol	C04146		43243	
pdx5p	Pyridoxine 5'-phosphate	C8H10NO6P	-2	Cytosol	C00627	447-05-2	35527	
t3c9palmeACP	trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]	C27H47N2O8PRS	-1	Cytosol			2617023	
cdp	CDP	C9H12N3O11P2	-3	Cytosol	C00112	63-38-7	33901	
btal	Butanal	C4H8O	0	Cytosol	C01412	123-72-8	37538	
lald-D	D-Lactaldehyde	C3H6O2	0	Cytosol	C00937	None	36414	
dsbdrd	fused thiol:disulfide interchange protein (reduced)	XH2	0	Cytosol			2703935	
paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	Cytosol	C00053	482-67-7	33679	
dcacoa	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	-4	Cytosol	C05274		45478	
leutrna	L-Leucyl-tRNA(Leu)	C6H12NOR	1	Cytosol	C02047		52740	
xylu-D	D-Xylulose	C5H10O5	0	Cytosol	C00310	551-84-8	34575	
quln	Quinolinate	C7H3NO4	-2	Cytosol	C03722	89-00-9	42393	
2dhguln	2-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C06473		1482981	
aso3	arsenite	AsO3	-3	Extra-organism, Cytosol, Periplasm	C06697		48880	
5mta	5-Methylthioadenosine	C11H15N5O3S	0	Cytosol	C00170	2457-80-9	34127	
cdec3eACP	cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)	C21H37N2O8PRS	-1	Cytosol			2617008	
gal	D-Galactose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00124	59-23-4	33945	
thym	Thymine	C5H6N2O2	0	Extra-organism, Cytosol, Periplasm	C00178	65-71-4	34151	
adn	Adenosine	C10H13N5O4	0	Extra-organism, Cytosol, Periplasm	C00212	58-61-7	34273	
man6p	D-Mannose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00275	None	34471	
