abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
hhlipa	heptosyl-heptosyl-kdo2-lipidA	C124H220N2O51P2	-6	Cytosol			2374861	
ocACP	Octanoyl-ACP (n-C8:0ACP)	C19H35N2O8PRS	-1	Cytosol	C05752		1446145	
tre	Trehalose	C12H22O11	0	Extra-organism, Cytosol, Periplasm	C01083	99-20-7	36774	
udp	UDP	C9H11N2O12P2	-3	Cytosol	C00015	58-98-0	33518	
but	Butyrate (n-C4:0)	C4H7O2	-1	Extra-organism, Cytosol, Periplasm	C00246	107-92-6	34376	
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C12H13NO9P	-3	Cytosol	C01302		37317	
galt1p	Galactitol 1-phosphate	C6H13O9P	-2	Cytosol	C06311		1439076	
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	Cytosol	C11435		216317	
o16aund	O16 antigen undecaprenyl diphosphate	C89H145N1O32P2	-2	Cytosol, Periplasm			2377452	
frulysp	fructoselysine Phosphate	C12H24N2O10P	-1	Cytosol	C16489		2213238	
sertrna(sec)	L-Seryl-tRNA(Sec)	C3H6NO2R	1	Cytosol	C06481		2932594	
cbasp	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	Cytosol	C00438		34984	
sucsal	Succinic semialdehyde	C4H5O3	-1	Cytosol	C00232	692-29-5	34331	
crncoa	L-Carnitinyl-CoA	C28H46N8O18P3S	-3	Cytosol			1489398	
isetac	Isethionic acid	C2H5O4S	-1	Extra-organism, Cytosol, Periplasm	C05123	107-36-8	45154	
gua	Guanine	C5H5N5O	0	Extra-organism, Cytosol, Periplasm	C00242	73-40-5	34363	
palmACP	Palmitoyl-ACP (n-C16:0ACP)	C27H51N2O8PRS	-1	Cytosol	C05764		1437566	
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	C11H12NO6P	-2	Cytosol	C03506		41982	
ugmd	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	C35H51N7O26P2	-4	Cytosol	C04877		44782	
pac	Phenylacetic acid	C8H7O2	-1	Cytosol	C07086	103-82-2	1486426	
acon-C	cis-Aconitate	C6H3O6	-3	Cytosol	C00417	585-84-2	34920	
ditp	dITP	C10H11N4O13P3	-4	Cytosol	C01345		37399	
pa140	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H59O8P1	-2	Cytosol, Periplasm	C00416		2617409	
gmhep17bp	D-Glycero-D-manno-heptose 1,7-bisphosphate	C7H12O13P2	-4	Cytosol	C11472		1488077	
sarcs	Sarcosine	C3H7NO2	0	Cytosol	C00213	107-97-1	34275	
crnDcoa	D-carnitinyl-CoA	C28H46N8O18P3S	-3	Cytosol			2386261	
skm	Shikimate	C7H9O5	-1	Extra-organism, Cytosol, Periplasm	C00493	138-59-0	35144	
cu	Cu+	Cu	1	Extra-organism, Cytosol, Periplasm	C00070		2323762	
bbtcoa	gamma-butyrobetainyl-CoA	C28H46N8O17P3S	-3	Cytosol			1489417	
g3pg	Glycerophosphoglycerol	C6H14O8P	-1	Extra-organism, Cytosol, Periplasm	C03274	11034-93-8	41538	
3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C00618		35509	
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H31O7P1	-2	Cytosol, Periplasm	C00681		2617404	
pg180	Phosphatidylglycerol (dioctadecanoyl, n-C18:0)	C42H82O10P1	-1	Cytosol, Periplasm	C00344		2617842	
fldrd	flavodoxin (reduced) - obsolete	XH2	0	Cytosol	C02745		40486	
4abut	4-Aminobutanoate	C4H9NO2	0	Extra-organism, Cytosol, Periplasm	C00334	56-12-2	34652	
zn2	Zinc	Zn	2	Extra-organism, Cytosol, Periplasm	C00038	7440-66-6	33614	
suc6p	Sucrose 6-phosphate	C12H21O14P	-2	Cytosol	C02591		40149	
urea	Urea	CH4N2O	0	Extra-organism, Cytosol, Periplasm	C00086	57-13-6	33799	
odecoa	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	-4	Cytosol	C00510		1451388	
gmhep7p	D-Glycero-D-manno-heptose 7-phosphate	C7H13O10P	-2	Cytosol	C07836		1488095	
adprib	ADPribose	C15H21N5O14P2	-2	Cytosol	C00301		34547	
8aonn	8-Amino-7-oxononanoate	C9H17NO3	0	Cytosol	C01092		36792	
pa161	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	C35H63O8P1	-2	Cytosol, Periplasm	C00416		2617433	
tdecoa	Tetradecenoyl-CoA (n-C14:1CoA)	C35H56N7O17P3S	-4	Cytosol	C06737		1451382	
gdpfuc	GDP-L-fucose	C16H23N5O15P2	-2	Cytosol	C00325		34623	
gtp	GTP	C10H12N5O14P3	-4	Extra-organism, Cytosol, Periplasm	C00044	86-01-1	33641	
udpgalfur	UDP-D-galacto-1,4-furanose	C15H22N2O17P2	-2	Cytosol	C03733	638-23-3	42414	
ru5p-L	L-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol	C01101		36809	
trnatyr	tRNA(Tyr)	R	0	Cytosol	C00787		52620	
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H8N3O4P	-2	Cytosol	C04556		44041	
3ocpalm9eACP	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C27H47N2O9PRS	-1	Cytosol			2617020	
spmd	Spermidine	C7H22N3	3	Extra-organism, Cytosol, Periplasm	C00315	124-20-9	34593	
ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol	C00199	4151-19-3	34237	
dadp	dADP	C10H12N5O9P2	-3	Cytosol	C00206	None	34254	
btnso	d-biotin d-sulfoxide	C10H15N2O4S	-1	Cytosol			1486591	
4abz	4-Aminobenzoate	C7H6NO2	-1	Cytosol	C00568	150-13-0	35376	
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	-1	Cytosol	C04688		1450063	
gdpddman	GDP-4-dehydro-6-deoxy-D-mannose	C16H21N5O15P2	-2	Cytosol	C01222		37116	
ile-L	L-Isoleucine	C6H13NO2	0	Extra-organism, Cytosol, Periplasm	C00407	73-32-5	34887	
ctp	CTP	C9H12N3O14P3	-4	Cytosol	C00063	65-47-4	33710	
dtdp	dTDP	C10H13N2O11P2	-3	Cytosol	C00363		34750	
ethso3	ethanesulfonate	C2H5O3S	-1	Extra-organism, Cytosol, Periplasm			2380360	
cpg180	cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)	C44H82O10P1	-1	Cytosol			2634215	
trnapro	tRNA(Pro)	R	0	Cytosol	C01649		38080	
2pglyc	2-Phosphoglycolate	C2H2O6P	-3	Cytosol	C00988		36550	
argtrna	L-Arginyl-tRNA(Arg)	C6H14N4OR	2	Cytosol	C02163		52745	
2odec11eg3p	2-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H40O7P1	-1	Cytosol, Periplasm	C03974		2706888	
dimp	dIMP	C10H11N4O7P	-2	Extra-organism, Cytosol, Periplasm	C06196		47635	
amp	AMP	C10H12N5O7P	-2	Extra-organism, Cytosol, Periplasm	C00020	61-19-8	33534	
butACP	Butyryl-ACP (n-C4:0ACP)	C15H27N2O8PRS	-1	Cytosol	C05745	7783-08-6	46390	
12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	C39H72O5	0	Cytosol, Periplasm	C00641		2618277	
uaccg	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	C20H26N3O19P2	-3	Cytosol	C04631		44212	
crn	L-Carnitine	C7H15NO3	0	Extra-organism, Cytosol, Periplasm	C00318	541-15-1	34600	
pg160	Phosphatidylglycerol (dihexadecanoyl, n-C16:0)	C38H74O10P1	-1	Cytosol, Periplasm	C00344		2617836	
nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	Cytosol	C00004	58-68-4	33484	
dudp	dUDP	C9H11N2O11P2	-3	Cytosol	C01346		37403	
rbl-L	L-Ribulose	C5H10O5	0	Cytosol	C00508		35195	
dc2coa	trans-Dec-2-enoyl-CoA	C31H48N7O17P3S	-4	Cytosol	C05275		45480	
pant-R	(R)-Pantoate	C6H11O4	-1	Cytosol	C00522	470-29-1	35240	
xylu-L	L-Xylulose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C00312	527-50-4	34584	
ncam	Nicotinamide	C6H6N2O	0	Cytosol	C00153	98-92-0	34058	
4r5au	4-(1-D-Ribitylamino)-5-aminouracil	C9H16N4O6	0	Cytosol	C04732		44429	
oxur	Oxalureate	C3H3N2O4	-1	Cytosol	C00802	585-05-7	36042	
phetrna	L-Phenylalanyl-tRNA(Phe)	C9H10NOR	1	Cytosol	C03511		52796	
tyr-L	L-Tyrosine	C9H11NO3	0	Extra-organism, Cytosol, Periplasm	C00082	60-18-4	33785	
pgp181	Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)	C42H77O13P2	-3	Cytosol, Periplasm	C03892		2617795	
pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1	Cytosol	C03090		41182	
23dappa	2,3-diaminopropionate	C3H9N2O2	1	Extra-organism, Cytosol, Periplasm	C06393		2213301	
3ooctACP	3-Oxooctanoyl-[acyl-carrier protein]	C19H33N2O9PRS	-1	Cytosol	C05750	7783-08-6	46407	
cpgn-un	coprogen unloaded (no Fe(III))	C35H52N6O13	-4	Extra-organism, Cytosol, Periplasm			2391021	
cdpdodec11eg	CDP-1,2-dioctadec-11-enoylglycerol	C48H83N3O15P2	-2	Cytosol	C00269		2617640	
iasp	Iminoaspartate	C4H3NO4	-2	Cytosol	C05840		46611	
acmana	N-Acetyl-D-mannosamine	C8H15NO6	0	Extra-organism, Cytosol, Periplasm	C00645	3615-17-6	35606	
udpLa4o	UDP-4-keto-pyranose	C14H18N2O16P2	-2	Cytosol	C16155		2374669	
3ohcoa	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	Cytosol	C05269	5096-70-8	45468	
od2coa	trans-Octadec-2-enoyl-CoA	C39H64N7O17P3S	-4	Cytosol	C16218		1452075	
inost	myo-Inositol	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00137	87-89-8	33990	
dhpt	Dihydropteroate	C14H13N6O3	-1	Cytosol	C00921		36380	
tdec2eACP	trans-Dec-2-enoyl-[acyl-carrier protein]	C21H37N2O8PRS	-1	Cytosol	C05754	7783-08-6	46419	
ggbutal	gamma-glutamyl-gamma-butyraldehyde	C9H16O4N2	0	Cytosol	C15700		2221296	
chor	chorismate	C10H8O6	-2	Cytosol	C00251	55508-12-8	34395	
cd2	Cadmium	Cd	2	Extra-organism, Cytosol, Periplasm	C01413		1800088	
so2	sulfur dioxide	O2S	0	Extra-organism, Cytosol, Periplasm	C09306		2389303	
ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	Cytosol	C00021	979-92-0	33543	
hco3	Bicarbonate	CHO3	-1	Cytosol	C00288	71-52-3	34509	
unagamu	Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate	C71H113N2O18P2	-3	Cytosol			1483661	
argsuc	N(omega)-(L-Arginino)succinate	C10H17N4O6	-1	Cytosol	C03406	None	41790	
3oddecACP	3-Oxododecanoyl-[acyl-carrier protein]	C23H41N2O9PRS	-1	Cytosol	C05756	7783-08-6	46425	
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	Cytosol	C05266		45460	
tagdp-D	D-Tagatose 1,6-biphosphate	C6H10O12P2	-4	Cytosol	C03785		1436448	
enter	Enterochelin	C30H27N3O15	0	Extra-organism, Cytosol, Periplasm	C05821		1516604	
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4	Cytosol	C01144		36912	
3sala	3-Sulfino-L-alanine	C3H5NO4S	-2	Cytosol	C00606	1115-65-7	35482	
12ppd-S	(S)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02917	4254-14-3	40815	
ps140	phosphatidylserine (ditetradecanoyl, n-C14:0)	C34H65N1O10P1	-1	Cytosol	C02737		2617965	
fum	Fumarate	C4H2O4	-2	Extra-organism, Cytosol, Periplasm	C00122	110-17-8	33938	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	Cytosol	C05260		45447	
uamag	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	C28H39N5O23P2	-4	Cytosol	C00692		35714	
mercppyr	Mercaptopyruvate	C3H3O3S	-1	Cytosol	C00957		36476	
db4p	3,4-dihydroxy-2-butanone 4-phosphate	C4H7O6P	-2	Cytosol	C15556		199371	
prlp	5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	C15H21N5O15P2	-4	Cytosol	C04916		44913	
trnaglu	tRNA (Glu)	R	0	Cytosol	C01641	None	132267	
ocdca	octadecanoate (n-C18:0)	C18H35O2	-1	Extra-organism, Cytosol, Periplasm	C01530	57-11-4	37799	
met-D	D-Methionine	C5H10NO2S	0	Extra-organism, Cytosol, Periplasm	C00855	348-67-4	36214	
selnp	Selenophosphate	H2O3PSe	-1	Cytosol	C05172		45264	
progly	L-Prolinylglycine	C7H12N2O3	0	Extra-organism, Cytosol, Periplasm			2704888	
fdp	D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	Cytosol	C00354	488-69-7	34717	
u23ga	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	C43H75N3O20P2	-2	Cytosol	C04652		44263	
ocdcea	octadecenoate (n-C18:1)	C18H33O2	-1	Extra-organism, Cytosol, Periplasm	C00712		1451011	
met-L	L-Methionine	C5H11NO2S	0	Extra-organism, Cytosol, Periplasm	C00073	63-68-3	33753	
dhpmp	Dihydroneopterin monophosphate	C9H12N5O7P	-2	Cytosol	C05925		1447045	
23dhdp	2,3-Dihydrodipicolinate	C7H5NO4	-2	Cytosol	C03340		41662	
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H14N5O8P	-2	Cytosol	C01304		1446959	
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	-2	Cytosol	C04236		43420	
anhm	1,6-anhydrous-N-Acetylmuramate	C11H16NO7	-1	Cytosol			2328675	
trptrna	L-Tryptophanyl-tRNA(Trp)	C11H11N2OR	1	Cytosol	C03512		52799	
cyan	Hydrogen cyanide	CHN	0	Extra-organism, Cytosol, Periplasm	C01326	57-12-5	34146	
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	0	Cytosol, Periplasm	C05973		2706656	
mso3	methanesulfonate	CH3O3S	-1	Extra-organism, Cytosol, Periplasm	C11145		2325303	
dtdp4addg	dTDP-4-amino-4,6-dideoxy-D-galactose	C16H26N3O14P2	-1	Cytosol	C04268		43484	
adpglc	ADPglucose	C16H23N5O15P2	-2	Cytosol	C00498		35161	
apg160	acyl phosphatidylglycerol (n-C16:0)	C54H104O11P	-1	Cytosol			2707891	
nicrnt	Nicotinate D-ribonucleotide	C11H12NO9P	-2	Cytosol	C01185		37018	
glu-L	L-Glutamate	C5H8NO4	-1	Extra-organism, Cytosol, Periplasm	C00025	56-86-0	33561	
hxan	Hypoxanthine	C5H4N4O	0	Extra-organism, Cytosol, Periplasm	C00262	68-94-0	34434	
uLa4fn	undecaprenyl phosphate-4-amino-4-formyl-L-arabinose	C61H99N1O8P1	-1	Cytosol			2374700	
glntrna	L-Glutaminyl-tRNA(Gln)	C5H9N2O2R	1	Cytosol	C02282		52750	
colipa	core oligosaccharide lipid A	C176H303N2O100P4	-11	Extra-organism, Cytosol, Periplasm			2375069	
orot	Orotate	C5H3N2O4	-1	Extra-organism, Cytosol, Periplasm	C00295	65-86-1	34527	
2ddecg3p	2-dodecanoyl-sn-glycerol 3-phosphate	C15H30O7P1	-1	Cytosol, Periplasm	C03974		2706862	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol	C00671		35662	
trnagln	tRNA(Gln)	R	0	Cytosol	C01640		38062	
glcn	D-Gluconate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C00257	526-95-4	34420	
feoxam	ferroxamine	C25H46FeN6O8	1	Extra-organism, Cytosol, Periplasm	C07597		1899884	
udcpdp	Undecaprenyl diphosphate	C55H89O7P2	-3	Cytosol, Periplasm	C04574		42055	
ps181	phosphatidylserine (dioctadec-11-enoyl, n-C18:1)	C42H77N1O10P1	-1	Cytosol	C02737		2618014	
gdpmann	GDP-D-mannose	C16H23N5O16P2	-2	Cytosol	C00096		1460457	
2dmmq8	2-Demethylmenaquinone 8	C50H70O2	0	Cytosol	C05818		46562	
ump	UMP	C9H11N2O9P	-2	Extra-organism, Cytosol, Periplasm	C00105	58-97-9	33873	
sl2a6o	N-Succinyl-2-L-amino-6-oxoheptanedioate	C11H12NO8	-3	Cytosol	C04462		43864	
mi1p-D	1D-myo-Inositol 1-phosphate	C6H11O9P	-2	Cytosol	C01177		1484840	
etha	Ethanolamine	C2H8NO	1	Extra-organism, Cytosol, Periplasm	C00189	141-43-5	34189	
ctbtcoa	crotonobetainyl-CoA	C28H44N8O17P3S	-3	Cytosol			1489399	
gagicolipa	galactosyl-glucosyl-inner core oligosaccharide lipid A	C157H271N2O84P4	-11	Cytosol			2375062	
cpg160	cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)	C40H74O10P1	-1	Cytosol			2634214	
malthp	Maltoheptaose	C42H72O36	0	Cytosol			1486100	
ichor	Isochorismate	C10H8O6	-2	Cytosol	C00885		36293	
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	-1	Cytosol	C16220		1572019	
3ophb	3-Octaprenyl-4-hydroxybenzoate	C47H69O3	-1	Cytosol	C05809		46544	
ps160	phosphatidylserine (dihexadecanoyl, n-C16:0)	C38H73N1O10P1	-1	Cytosol	C02737		2617990	
12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	C39H76O5	0	Cytosol, Periplasm	C00641		2618262	
no	Nitric oxide	NO	0	Extra-organism, Cytosol, Periplasm	C00533	10102-43-9	35273	
pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4	Cytosol	C00154		34063	
ala-B	beta-Alanine	C3H7NO2	0	Extra-organism, Cytosol, Periplasm	C00099	107-95-9	33848	
glcr	D-Glucarate	C6H8O8	-2	Extra-organism, Cytosol, Periplasm	C00818	87-73-0	35926	
thm	Thiamin	C12H17N4OS	1	Extra-organism, Cytosol, Periplasm	C00378	67-03-8	34804	
rhcys	S-Ribosyl-L-homocysteine	C9H17NO6S	0	Cytosol	C03539	37558-16-0	42044	
2pg	D-Glycerate 2-phosphate	C3H4O7P	-3	Cytosol	C00631		35542	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P	-3	Cytosol	C04442		43826	
5drib	5'-deoxyribose	C5H10O4	0	Cytosol			2979838	
thmpp	Thiamine diphosphate	C12H16N4O7P2S	-2	Cytosol	C00068	154-87-0	33732	
aact	Aminoacetone	C3H8NO	1	Cytosol	C01888	298-08-8	38629	
glyald	D-Glyceraldehyde	C3H6O3	0	Extra-organism, Cytosol, Periplasm	C00577	453-17-8	35402	
5mthf	5-Methyltetrahydrofolate	C20H24N7O6	-1	Cytosol	C00440		34988	
td2coa	trans-Tetradec-2-enoyl-CoA	C35H56N7O17P3S	-4	Cytosol	C05273		45476	
lyx-L	L-Lyxose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C01508	1949-78-6	37762	
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P1	-1	Cytosol, Periplasm			2706848	
aacald	Aminoacetaldehyde	C2H6NO	1	Cytosol	C06735		48971	
pydx	Pyridoxal	C8H9NO3	0	Cytosol	C00250	66-72-8	34393	
pyam5p	Pyridoxamine 5'-phosphate	C8H12N2O5P	-1	Cytosol	C00647	529-96-4	35609	
trnalys	tRNA(Lys)	R	0	Cytosol	C01646		38074	
3ocmrs7eACP	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H43N2O9PRS	-1	Cytosol			2617014	
agm	Agmatine	C5H16N4	2	Extra-organism, Cytosol, Periplasm	C00179	306-60-5	34153	
