bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035
b4478,18.6209172358,13.4218915526,16.3868958551,17.5189727412,12.2099029181,12.9606359269,13.3995172154,203.4808247329,7.1993413661,5.8055395611,20.1327063232,15.1437796186,10.6971015661,17.8481424453,15.700190239,17.186390643
b3034,287.0119263877,212.2045792729,242.8088599633,225.3465182096,194.1692470319,184.3765419973,208.1613293244,170.5681231729,184.9896594316,181.2297934308,245.7368900183,218.7769249985,191.5663565945,110.9488497578,168.7227442416,110.319540054
b3396,12.7494717756,13.627347288,11.3462180031,13.5388165031,10.5603056638,13.9259747794,6.2963018828,3.6838684475,4.9341793699,5.6346154693,9.0212334785,5.9087512293,7.5878067807,6.7740701922,10.6715563553,13.1558338875
b0929,274.6107679061,128.4374298975,180.5263356791,185.8830020222,155.0291667687,129.4375339531,162.991841946,116.1127378361,157.2791934862,218.9566718493,329.0925264365,242.5622481215,192.2616952863,147.34353901,110.4724102589,114.0355766821
b3742,2014.3073613653,1517.6685860909,2034.890105919,1755.7586717519,1901.3728507407,1090.805561654,1800.2830738786,1486.0756232813,1463.1849415631,1446.2719953104,2023.8919107758,1546.9230762429,1651.0152290387,1288.0001695726,1371.7523548559,1414.1177421897
b3661,716.3502109126,546.1481257928,386.3425256194,596.0709606217,237.2495524996,159.5936707415,154.6233138425,141.282556088,157.4771307559,308.2216304895,275.8443582317,149.6168777825,140.6309818434,199.2574059813,168.0268571282,136.0882803551
b2704,88.6824685323,76.112716403,88.637985392,86.8187730441,119.0427560736,56.9625171795,211.0835088366,48.7315653878,82.9701068471,102.6865260181,97.2869932696,116.0523463872,90.9373652307,72.4247285978,103.733141343,128.6539013578
b1709,62.8418644521,25.4260504129,107.9937344241,162.0841632807,53.0081650957,84.1776214343,67.9911547491,48.3958771466,47.0746671621,166.6415931982,69.0401645872,79.8615220688,119.4765427485,45.9678634605,67.720931856,60.8567340663
b3075,44.6343076835,19.8630935534,36.4733820611,32.654973179,36.8991382633,10.4335217566,29.3866805807,26.2905559477,36.9240818011,29.6787154168,70.4826576636,3.2423665469,34.5743607542,47.3821008086,12.0092912907,50.5843331072
b0871,99.3701987055,128.3261460014,117.9448555573,79.4275972724,21.5001392332,13.0822706981,24.2029810606,32.378810151,44.7662446482,67.522181747,82.5307114532,54.5035830714,43.8064820004,23.789762425,10.215079469,21.1925497231
b2600,109.6013517833,58.7693500112,84.9632657411,81.3994068399,17.9311463806,13.4456399044,27.1289593938,15.2826498691,25.4035483594,64.2028554217,40.9981799253,55.8993284956,21.4827726127,49.7474404313,27.6405315324,25.8974285558
b2315,108.163118361,93.6145971679,87.4805984934,88.1384175792,22.6462239637,1.911646819,15.8689645172,8.8381147487,8.8551026745,75.2800947297,65.446782539,76.6233999747,42.7223315054,12.8135096659,4.3673172423,6.6807505019
b1094,27869.3412914721,25580.9539094669,29269.4205889713,24293.2108384116,45769.3253352899,31078.2539457752,30903.237182043,20477.1191109119,25501.736133882,22029.5076805981,26924.8279119339,20978.1509477834,22462.6033708068,23273.7688626828,32842.895931634,36736.5626145901
b3237,891.2052345057,664.1660635162,610.2907248458,826.7697258441,692.2983765929,422.2378146113,555.1241114628,327.8080094481,460.3666476352,456.0349774127,873.8866679792,544.9333138469,480.4713403857,845.2495789886,478.0551274703,587.5614828219
b2750,589.4795712385,611.1693943869,631.2407985272,548.2904093662,280.0526569812,69.5999031545,308.7996181466,157.5190404261,322.5185437453,339.4876197373,573.9446612544,353.8716157964,361.0925056069,241.8906032313,84.2569787739,148.0947746546
b3740,237.7081026179,183.88303146,248.5806579353,260.9772515475,218.2224695529,89.6903574727,214.2076642669,97.432122549,146.5327965211,126.6177797571,235.6337148174,189.8527679101,181.3424188427,99.633821784,90.275854332,111.4261407703
b3481,487.647362173,441.9345142507,592.7499978521,845.3284590767,401.4046797095,211.6177677135,201.2218145942,228.9366423883,281.4223996888,233.6632818239,392.2404285547,277.8208827507,291.3196305953,310.6621770686,146.8560308406,419.0327978639
b3351,114.8721556358,160.9028092392,165.9053402874,86.1446604095,65.5115906483,51.8243938167,78.1253959042,43.9044165715,64.8858791869,98.587654453,106.4368501189,78.2349374349,59.9573161387,62.4258660784,37.3276190277,182.2853289292
