bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0407,6301.7534122965,6568.279155949,6042.1536729322,6497.906598158,6657.5600662107,6784.5049872813,6159.5126294878,5889.8641862345
b0408,642.3284908878,629.2130388764,579.9427894091,600.2675940752,636.9254111935,622.993457046,654.6930628107,600.1054457304
b0409,174.5925321074,166.3930664363,208.7248735595,175.3608063195,176.3182694129,167.6128596373,193.0779020782,169.9027581247
b0410,,,187.3248076972,218.1813957605,209.8011406723,,163.4661641954,105.0044336755
b0411,1412.0581763471,1517.3548496596,1477.0541377463,1419.1755616382,1429.5688061941,1551.8304195336,1402.738139032,1280.9841475522
b0413,391.8681478423,358.9010026556,310.6823793025,361.0894987758,315.4916040116,321.6599096926,310.0113141587,293.8018319964
b0414,,,,,,,,
b0415,3669.822799219,4071.1989187332,4145.5716996647,3700.1419414035,3836.4958995636,4074.7473668456,4153.560630056,4012.6934995497
b0416,1077.736212449,1144.3374182664,1150.4880217161,1100.432083569,1195.5203967877,1147.9752521963,1107.5647469697,1185.4778680501
b0417,50.7783518059,51.0485439711,,50.5354870421,49.6363687645,,36.9900520076,
b0419,247.3667110009,155.4721895645,114.0106408355,244.8618296978,169.8301850456,159.1662671871,93.9420436786,75.6945270329
b0420,145.5021836188,150.2419271,129.1711268648,137.8247546568,136.6438688762,133.9421979558,142.3868635531,110.3652521429
b0421,92.2356498507,78.2674061323,69.0417924268,78.3178758637,66.8096118949,70.2690639814,62.6884782125,65.3724830209
b0422,,,,,,,,
b0423,87.2205523038,111.8838388349,131.6020087447,84.0832965816,100.9616836716,120.1012626961,154.9413158385,168.1566946083
b0424,,207.6760073182,170.2632622606,180.4980571913,192.0367101415,182.622731523,194.9812840794,186.7397977911
b0426,6824.0144027077,6261.5213008679,5920.8498891757,6812.765141683,6655.6885810673,6127.8333430007,5611.2637086991,5457.3790043375
b0429,138.7468870502,135.0804442187,128.9878554698,141.995823444,154.8411323105,168.9016409778,228.102888607,151.9269424664
b0431,324.6196914147,402.879517124,476.7673889696,350.6636013449,367.457366389,462.9401875125,555.4080085856,540.3366074827
b0432,2330.5610001671,2784.5320162666,3197.4337531506,2277.1858252472,2559.8225956325,3044.4831283953,3653.2354917325,3899.1919931425
b0434,1849.5047922967,2004.7419578472,1876.2412702494,1919.4967972138,2170.2644564823,1986.2015507422,1937.9669355708,1854.4853187573
