bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b2728,,,,,
b2729,,,,,
b2730,,,,,
b2731,,,,,
b2732,,,,,
b2733,,,,,
b2734,,,,,
b2735,,,,,
b2736,,,,,
b2737,,,,,
b2738,,,,,
b2739,,,,,
b2740,,,,,
b2741,416,362,446,356,368
b2742,,,,,
b2743,,,,,
b2744,,,,,
b2745,,,,,
b2746,,,,,
b2747,,,,,
b2748,,,,,
b2749,,,,,
b2750,,,,,
b2751,730,1167,1442,1675,1848
b2752,942,1358,1711,2137,2830
b2753,,,,,
b2754,,,,,
b2755,,,,,
b2756,,,,,
b2757,,,,,
b2758,,,,,
b2759,,,,,
b2760,,,,,
b2761,,,,,
b2762,477,557,682,636,826
b2763,1017,1201,1607,1647,1733
b2764,881,1119,1496,2266,2488
b2765,,,,,
b2766,,,,,
b2767,,,,,
b2768,,,,,
b2769,,,,,
b2770,,,,,
b2771,,,,,
b2774,,,,,
b2775,,,,,
b2776,,,,,
b2777,,,,,
b2778,,,,,
b2779,18686,15697,15407,15667,19143
b2780,426,519,666,748,833
b2781,,,,,
b2782,,,,,
b2783,,,,,
b2784,136,154,128,96,78
b2785,,,,,
b2786,,,,,
b2787,,,,,
b2788,,,,,
b2789,,,,,
b2790,871,903,739,583,580
b2791,,,,,
b2792,,,,,
b2793,,,,,
b2794,70,75,60,57,59
b2795,32,26,26,25,24
b2796,,,,,
b2797,,,,,
b2798,,,,,
b2799,352,421,203,66,35
b2800,,,,,
b2801,,,,,
b2802,,,,,
b2803,,,,,
b2804,,,,,
b2805,,,,,
b2806,50,52,51,49,48
b2807,,,,,
b2808,,,,,
b2809,1776,,,,
b2810,,,,,
b2811,54,53,49,47,46
b2812,,,,,
b2813,,,,,
b2816,,,,,
b2817,,,,,
b2818,200,244,257,394,344
b2819,,,,,
b2820,,,,,
b2821,,,,,
b2822,,,,,
b2823,,,,,
b2824,,,,,
b2825,,,,,
b2826,,,,,
b2827,189,201,209,193,220
b2828,,,,,
b2829,72,76,73,56,51
b2830,,,,,
b2831,,,,,
b2832,,,,,
b2833,,,,,
b2834,718,698,662,620,618
b2835,,,,,
b2836,,,,,
b2837,,,,,
b2838,117,152,178,191,230
b2839,,,,,
b2840,,,,,
b2841,,,,,
b2842,,,,,
b2843,,,,,
b2844,176,,,,
b2845,,,,,
b2846,,,,,
b2847,,,,,
b2848,,,,,
b2849,,,,,
b2850,,,,,
b2851,,,,,
b2852,,,,,
b2853,,,,,
b2854,,,,,
b2856,,,,,
b2858,,,,,
b2859,,,,,
b2860,,,,,
b2861,,,,,
b2863,,,,,
b2864,,,,,
b2865,,,,,
b2866,,,,,
b2867,,,,,
b2868,,,,,
b2869,,,,,
b2870,,,,,
b2871,,,,,
b2872,,,,,
b2873,,,,,
b2874,,,,,
b2875,,,,,
b2876,,,,,
b2877,,,,,
b2878,,,,,
b2879,,,,,
b2880,,,,,
b2881,,,,,
b2882,,,,,
b2883,,,,,
b2886,,,,,
b2887,,,,,
b2888,,,,,
b2889,,,,,
b2890,2316,2825,2972,3088,3152
b2891,,,,,
b2892,,,,,
b2893,417,368,367,336,373
b2894,,,,,
b2895,,,,,
b2896,,,,,
b2897,412,,,,
b2898,1911,1855,1529,1242,1165
b2899,,,,,
b2900,417,380,295,292,329
b2901,693,654,668,621,669
b2902,,,,,
b2903,254,426,556,564,562
b2904,773,871,1114,1279,1213
b2905,92,117,176,189,217
b2906,,,,,
b2907,,,,,
b2908,1055,1163,1099,914,702
b2909,663,619,663,627,727
b2910,500,493,443,390,360
b2911,,,,,
b2912,,,,,
b2913,3790,4637,5648,7986,9207
b2914,3222,3160,2855,2777,2785
b2915,,,,,
b2916,353,366,341,294,320
b2917,,,,,
b2918,,,,,
b2919,,,,,
b2920,,,,,
b2921,,,,,
b2922,2710,2435,1981,1696,1392
b2923,,,,,
b2924,631,850,1593,2068,3161
b2925,10948,9546,9303,9619,11866
b2926,14229,12498,12407,11339,11160
b2927,,,,,
b2928,,,,,
b2929,,,,,
b2930,,,,,
b2933,,,,,
b2934,,,,,
b2935,1894,2792,2854,2725,2785
b2936,124,135,101,65,64
b2937,1143,1108,1244,1250,1081
b2938,458,653,887,954,977
b2939,,,,,
b2940,,,,,
b2942,2635,2646,3177,4720,4030
b2943,,,,,
b2944,,,,,
b2945,,,,,
b2946,,,,,
b2947,817,839,763,697,749
b2948,224,264,300,296,329
b2949,,,,,
b2950,,,,,
b2951,171,164,174,173,190
b2952,,,,,
b2953,,,,,
b2954,176,212,250,253,266
b2955,,,,,
b2956,,,,,
b2957,,,,,
b2958,546,419,350,350,334
b2959,1754,1358,1281,1203,1126
b2960,511,427,447,466,449
b2961,,,,,
b2962,3177,2897,2531,2211,2322
b2963,,,,,
b2964,23,,,,
b2965,,,,,
b2966,,,,,
b2967,,,,,
b2968,,,,,
b2969,,,,,
b2970,,,,,
b2971,,,,,
b2972,,,,,
b2975,,,,,
b2976,1903,2547,1857,1070,648
b2977,1320,,1205,696,373
b2979,,,,,
b2980,,,,,
b2981,,,,,
b2982,,,,,
b2983,,,,,
b2984,,,,,
b2985,,,,,
b2986,,,,,
b2987,,,,,
b2988,463,,,585,
b2989,2438,1952,1199,857,656
b2990,,,,,
b2991,,,,,
b2992,,,,,
b2993,,,,,
b2994,,,,,
b2995,,,,,
b2996,,,,,
b2997,,,,,
b2998,,,,,
b3001,1785,1770,936,483,
b3002,,,,,
b3003,740,388,261,211,155
b3005,,,,,
b3006,,,,,
b3008,1409,1506,1249,1136,1126
b3009,,,,,
b3010,,,,,
b3011,510,531,359,313,432
b3012,1553,919,645,631,575
b3013,,,,,
b3014,,,,,
b3017,209,294,256,,206
b3018,,,,,
b3019,,,,,
b3020,66,79,55,43,28
b3021,,,,,
b3022,,,,,
b3023,,,,,
b3024,2625,1745,1692,1243,1004
b3025,,,,,
b3026,,,,,
b3027,,,,,
b3028,273,435,368,215,199
b3029,2175,2250,1956,1590,1591
b3030,,,,,
b3031,,,,,
b3032,168,150,83,107,45
b3033,,,,,
b3034,194,196,174,159,138
b3035,208,202,176,172,143
b3037,198,189,97,94,74
b3038,219,202,185,158,143
b3039,,,,,
b3040,,,,,
b3041,152,,221,225,194
b3042,720,636,589,557,596
b3043,,,,,
b3046,,,,,
b3047,,,,,
b3048,,,,,
b3049,,,,,
b3050,,,,,
b3051,,,,,
b3052,634,745,664,605,644
b3053,95,95,91,74,64
b3054,136,133,139,118,126
b3055,167,121,61,45,51
b3056,45,,33,,21
b3057,,,,,
b3058,,,,,
b3059,,,,,
b3060,,,,,
b3061,,,,,
b3062,,,,,
b3063,,,,,
b3064,,,,,
b3065,14206,15508,18628,20408,22282
b3066,,,,,
b3067,1312,1154,1086,933,990
b3068,127,107,147,133,135
b3069,,,,,
b3070,,,,,
b3071,,,,,
b3072,405,,,,
b3073,,,,,
b3074,,,,,
b3075,,,,,
b3076,,,,,
b3077,,,,,
b3078,,,,,
b3079,,,,,
b3080,,,,,
b3081,133,118,73,36,15
b3082,,,,,
b3083,,,,,
b3084,,,,,
b3085,,,,,
b3086,,,,,
b3087,714,507,283,158,106
b3088,,,,,
b3089,212,284,264,189,102
b3090,,,,,
b3091,,,,,
b3092,124,182,160,,
b3093,,,,,
b3094,120,112,93,82,82
b3095,,,,,
b3096,,,,,
b3097,276,,,,
b3098,9612,7084,6184,5995,5931
b3099,168,,,,
b3100,,,,,
b3101,,,,,
b3102,769,435,330,292,244
b3103,,,,,
b3104,,,,,
b3105,,,,,
b3106,,,,,
b3107,,,,,
b3110,,,,,
b3113,1057,,,,
b3114,,,,,
b3115,,,,,
b3116,,,,,
b3117,,,,,
b3118,,,,,
b3119,,,,,
b3120,,,,,
b3121,,,,,
b3123,,,,,
b3124,,,,,
b3125,101,87,21,54,35
b3126,,,,,
b3127,,,,,
b3128,,,,,
b3129,109,,83,71,
b3130,,,,,
b3131,,,,,
b3132,,,,,
b3133,,,,,
b3134,,,,,
b3135,,,,,
b3136,,,,,
b3137,,,,,
b3138,,,,,
b3139,,,,,
b3140,,,,,
b3141,,,,,
b3142,,,,,
b3143,,,,,
b3144,,,,,
b3145,,,,,
b3146,103,101,94,89,96
b3147,158,142,127,117,109
b3148,,,,,
b3149,,,,,
b3150,318,346,302,251,247
b3151,,,,,
b3152,,,,,
b3153,590,360,265,233,220
b3154,,,,,
b3155,,,,,
b3156,1269,1112,737,529,585
b3157,,,,,
b3158,,,,,
b3159,,,,,
b3160,,,,,
b3161,,,,,
b3162,22,46,,,
b3163,72,68,60,44,51
b3164,3467,3792,3723,3206,3013
b3165,10727,10549,12627,13192,15199
b3166,,,,,
b3167,1180,1136,1166,1032,1186
b3168,1508,1701,1934,1960,1861
b3169,2399,2596,2660,2605,2800
b3170,229,322,351,353,390
b3171,,,,,
b3172,1683,2165,3285,4603,6191
b3173,,,,,
b3174,,,,,
b3175,506,537,585,576,547
b3176,962,991,986,907,876
b3177,,,,,
b3178,1027,964,1223,1077,1002
b3179,,,,,
b3180,1677,1703,1535,1554,1740
b3181,2179,2135,2110,1926,1833
b3182,,,,,
b3183,867,762,707,707,710
b3184,,,,,
b3185,4249,4813,5630,6592,7227
b3186,7377,7849,9417,9867,10558
b3187,247,245,295,266,317
b3188,,,,,
b3189,368,414,432,410,451
b3190,1026,1110,962,985,1108
b3191,247,267,188,,235
b3192,2341,2147,1957,1864,1886
b3193,102,118,121,129,170
b3194,,,,,
b3195,72,69,63,51,66
b3196,,,,,
b3197,88,95,91,88,96
b3198,304,372,393,379,273
b3199,,,,,
b3200,1483,1464,1327,1300,820
b3201,925,887,766,741,663
b3202,156,138,120,101,91
b3203,5556,4462,3643,2874,2454
b3204,949,881,799,719,629
b3205,110,100,87,66,60
b3206,,,,,
b3207,,,,,
b3208,,,,,
b3209,1285,1494,1337,1272,896
b3210,121,124,109,86,71
b3211,,,,,
b3212,600,1022,1556,1769,2657
b3213,654,1121,1548,1691,2158
b3214,,,,,
b3215,,,,,
b3216,,,,,
b3219,,,,,
b3220,,,,,
b3221,375,,,,
b3222,,,,,
b3223,,,,,
b3224,,,,,
b3225,,,,,
b3226,,,,,
b3227,,,,,
b3228,508,491,498,463,474
b3229,3464,3459,3155,3199,2892
b3230,8378,8782,10057,10686,13094
b3231,11991,14153,15639,16909,17597
b3232,,,,,
b3233,1176,1288,1457,1333,1189
b3234,1247,1082,1035,921,695
b3235,,,,,
b3236,27170,32362,31000,28376,18574
b3237,,,,,
b3238,,,,,
b3239,,,,,
b3240,,,,,
b3241,,,,,
b3242,,,,,
b3243,29,,,,
b3244,286,244,248,223,284
b3247,,,,,
b3248,,,,,
b3249,,,,,
b3250,,,,,
b3251,2466,2413,2086,2108,2195
b3252,,,,,
b3253,1382,1138,866,695,503
b3255,2506,2770,2247,7560,2398
b3256,1302,1380,1428,1393,1461
b3257,,,,,
b3258,,,,,
b3259,134,130,136,,176
b3260,,,,,
b3261,,,,,
b3262,,,,,
b3263,,,,,
b3264,,,,,
b3265,,,,,
b3266,,,,,
b3267,,,,,
b3268,,,,,
b3269,,,,,
b3270,,,,,
b3271,,,,,
b3273,,,,,
b3275,,,,,
b3276,,,,,
b3277,,,,,
b3278,,,,,
b3279,216,204,208,204,237
b3280,,,,,
b3281,109,102,109,115,135
b3282,132,136,123,134,179
b3283,,,,,
b3284,,,,,
b3287,855,789,756,751,888
b3288,406,336,355,324,307
b3289,83,108,70,81,90
b3290,129,57,82,69,58
b3291,472,470,551,431,332
b3292,,,,,
b3293,,,,,
b3294,8186,8744,10351,11183,12802
b3295,5122,6194,6400,5837,6031
b3296,10828,11110,14647,13462,16581
b3297,6460,6378,7372,8530,9154
b3298,13163,13322,16531,18483,20451
b3299,,,,,
b3300,464,544,525,540,429
b3301,7918,8549,10283,11239,11842
b3302,13135,14728,15793,19103,18881
b3303,12757,11993,14171,15735,18111
b3304,6677,7238,8232,9263,10103
b3305,11615,11560,13498,15164,17389
b3306,6404,6383,7765,8144,9703
b3307,6086,6621,8187,8475,9295
b3308,11572,11847,14934,15097,18031
b3309,11324,11523,13118,14599,14343
b3310,6869,7167,8505,9906,10821
b3311,6193,6237,7440,9507,8969
b3312,14067,14628,15360,20476,22903
b3313,12345,11962,14859,16371,17862
b3314,11628,12771,16030,15939,16414
b3315,14071,15305,17386,19692,19145
b3316,9730,10085,12365,14014,14949
b3317,8545,10417,13006,13713,14623
b3318,5674,6028,7060,7688,8869
b3319,10302,10442,11662,12711,14750
b3320,8778,9918,12803,12345,14052
b3321,12864,14046,16461,16810,20015
b3322,,,,,
b3323,,,,,
b3324,,,,,
b3325,,,,,
b3326,,,,,
b3327,,,,,
b3328,,,,,
b3329,,,,,
b3330,,,,,
b3331,,,,,
b3332,,,,,
b3333,,,,,
b3334,,,,,
b3335,,,,,
b3336,6938,6162,4771,4735,5348
b3337,,,,,
b3338,,,,,
b3339,54038,61126,58290,54349,51726
b3340,11071,11295,12470,12504,11360
b3341,13166,13971,15917,18133,13182
b3342,3715,4001,4496,5709,5380
b3343,,,,,
b3344,,,,,
b3345,103,92,,61,66
b3346,353,349,298,299,267
b3347,1828,1947,1973,2026,2088
b3348,466,424,338,325,329
b3349,3464,3567,3508,3526,3413
b3350,,,,,
b3351,,,,,
b3352,,,,,
b3353,,,,,
b3354,,,,,
b3355,167,,,,
b3356,208,242,233,231,290
b3357,4726,4665,3635,3076,2739
b3358,,,,,
b3359,1455,1416,1588,2363,2266
b3360,,,,,
b3361,280,167,116,97,91
b3362,670,,,,
b3363,1694,1295,1737,1228,1757
b3364,,,,,
b3365,,,,,
b3366,,,,,
b3367,,,,,
b3368,,,,,
b3369,,,,,
b3370,,,,,
b3371,,,,,
b3374,,,,,
b3375,,,,,
b3376,,,,,
b3377,,,,,
b3378,,,,,
b3379,,,,,
b3380,,,,,
b3381,,,,,
b3382,,,,,
b3383,,,,,
b3384,1270,1315,1349,1356,1464
b3385,241,306,,,
b3386,1703,2084,1845,2060,1813
b3387,,,,,
b3388,240,257,237,203,186
b3389,468,491,455,358,344
b3390,512,545,591,616,767
b3391,,,,,
b3392,,,,,
b3393,,,,,
b3394,,,,,
b3395,,,,,
b3396,,,,,
b3397,,,,,
b3398,,,,,
b3399,,,,,
b3400,,,,,
b3401,876,705,672,614,664
b3402,,,,,
b3403,5874,6848,5293,2932,1264
b3404,,,,,
b3405,1938,1621,1106,1092,843
b3406,,,,,
b3407,108,118,127,127,161
b3408,,,,,
b3409,,,,,
b3410,,,,,
b3411,,,,,
b3412,,,,,
b3413,,,,,
b3414,3273,3199,3108,3001,3266
b3415,,,,,
b3416,,,,,
b3417,556,650,786,750,489
b3418,257,335,262,161,60
b3421,,,,,
b3422,,,,,
b3423,266,230,224,216,269
b3424,,,,,
b3425,,,,,
b3426,,,,,
b3427,,,,,
b3428,540,497,462,397,345
b3429,776,749,741,643,523
b3430,844,941,943,760,611
b3431,,,,,
b3432,312,318,250,253,240
b3433,5443,7377,8129,9448,11416
b3434,,,,,
b3437,,,,,
b3438,328,242,243,220,196
b3439,1124,707,448,459,378
b3440,265,306,306,273,274
b3441,,,,,
b3442,,,,,
b3443,,,,,
b3446,,,,,
b3447,428,306,328,301,218
b3448,738,,,,
b3449,269,226,156,124,121
b3450,220,156,109,71,
b3451,,,,,
b3452,,,,,
b3453,2336,1451,714,404,276
b3454,439,408,437,392,367
b3455,269,286,289,281,263
b3456,,,,,
b3457,,,,,
b3458,1450,1608,2348,2543,2688
b3459,,,,,
b3460,24271,26955,23577,18883,16039
b3461,,,,,
b3462,,,,,
b3463,306,287,254,234,226
b3464,786,720,658,626,629
b3465,,,,,
b3466,,,,,
b3467,,,,,
b3468,,,,,
b3469,,,,,
b3470,,,,,
b3471,,,,,
b3472,953,1162,1329,1015,1092
b3473,,,,,
b3474,,,,,
b3475,,,,,
b3476,,,,,
b3477,,,,,
b3478,,,,,
b3479,,,,,
b3480,,,,,
b3481,341,531,400,322,369
b3482,,,,,
b3483,,,,,
b3484,,,,,
b3485,,,,,
b3486,,,,,
b3487,28,40,50,41,35
b3488,,,,,
b3491,,,,,
b3492,,,,,
b3493,,,,,
b3494,,,,,
b3495,23100,22043,15184,11692,11180
b3496,,,,,
b3497,,,,,
b3498,813,649,767,762,781
b3499,,,,,
b3500,672,598,525,451,498
b3501,,,,,
b3502,,,,,
b3503,,,,,
b3504,,,,,
b3506,568,352,364,373,492
b3507,,,,,
b3508,,,,,
b3509,9401,4090,3292,4217,3233
b3510,22242,8062,,,3049
b3511,,,,,
b3512,,,,,
b3513,,,,,
b3514,,,,,
b3515,,,,,
b3516,,,,,
b3517,5510,3079,1049,1188,1418
b3518,,,,,
b3519,,,,,
b3520,,,,,
b3521,,,,,
b3522,,,,,
b3523,,,,,
b3524,192,112,77,59,42
b3525,,,,,
b3526,125,129,115,107,99
b3527,317,194,145,487,125
b3528,506,,,,
b3529,,,,,
b3530,,,,,
b3531,,,,,
b3532,,,,,
b3533,,,,,
b3534,,,,,
b3535,,,,,
b3536,,,,,
b3537,,,,,
b3538,,,,,
b3539,,,,,
b3540,132,155,176,152,141
b3541,437,541,647,548,426
b3542,,,,,
b3543,,,,,
b3544,15766,15725,14041,10367,6191
b3545,,,,,
b3546,69,,,,
b3547,,,,,
b3548,,,,,
b3549,,,,,
b3550,,,,,
b3551,,,,,
b3552,171,,,336,
b3553,674,988,1419,1314,1634
b3554,646,576,484,443,510
b3555,,,,,
b3556,178,,,441,
b3557,,,,,
b3558,,,,,
b3559,1896,1926,2034,1971,2048
b3560,1444,1447,1409,1588,1699
b3561,,,,,
b3562,,,,,
b3563,,,,,
b3564,,,,,
b3565,,,,,
b3566,1193,1242,494,115,
b3567,,,,,
b3568,,,,,
b3569,,,,,
b3570,,,,,
b3571,,,,,
b3572,,,,,
b3573,,,,,
b3574,,,,,
b3575,,,,,
b3576,,,,,
b3577,,,,,
b3578,,,,,
b3579,,,,,
b3580,,,,,
b3581,,,,,
b3582,,,,,
b3583,,,,,
b3584,,,,,
b3585,,,,,
b3586,,,,,
b3587,,,,,
b3588,5577,2723,678,263,72
b3589,,,,,
b3590,21,22,21,21,21
b3591,,,,,
b3592,847,627,582,510,511
b3593,,,,,
b3594,,,,,
b3595,,,,,
b3596,,,,,
b3597,,,,,
b3598,,,,,
b3599,724,673,493,364,199
b3600,1310,984,676,528,415
b3601,,,,,
b3602,741,755,740,771,1009
b3603,,,,,
b3604,,,,,
b3605,88,85,81,59,53
b3606,,,,,
b3607,455,448,360,287,252
b3608,371,284,230,200,191
b3609,6719,7311,7847,7548,7254
b3610,3194,2760,2349,2260,2068
b3611,880,903,900,855,710
b3612,667,1120,1863,1564,2851
b3613,,,,,
b3614,,,,,
b3615,,,,,
b3616,237,252,155,,107
b3617,28,,28,18,15
b3618,,,,,
b3619,2797,2613,2189,2135,2358
b3620,,,,,
b3621,,,,,
b3622,,,,,
b3623,19,,,22,15
b3624,,,,,
b3625,,,,,
b3626,,,,,
b3627,,,,,
b3628,,,,,
b3629,,,,,
b3630,,,,,
b3631,,,,,
b3632,,,,,
b3633,,,,,
b3634,,,,,
b3635,,,,,
b3636,6564,7092,8091,8673,10766
b3637,8941,9439,11736,12678,13555
b3638,,,,,
b3639,522,,,384,
b3640,556,525,904,855,481
b3641,,,,,
b3642,,,,,
b3643,,,,,
b3644,799,687,585,503,474
b3645,,,,,
b3646,,,,,
b3647,,,,,
b3648,160,141,147,159,213
b3649,3538,3716,3838,3683,3705
b3650,,,,,
b3651,,,,,
b3652,,,,,
b3653,,,,,
b3654,,,,,
b3655,48,43,43,38,37
b3656,,,,,
b3657,,,,,
b3658,,,,,
b3659,,,,,
b3660,,,,,
b3661,822,1097,1458,1400,1431
b3662,,,,,
b3663,,,,,
b3664,,,,,
b3665,,,,,
b3666,,,,,
b3667,,,,,
b3668,,,,,
b3669,,,,,
b3670,678,,,971,
b3671,1471,2239,1769,2511,1741
b3672,,,,,
b3673,,,,,
b3674,,,,,
b3675,,,,,
b3676,,,,,
b3677,,,,,
b3678,,,,,
b3679,,,,,
b3680,,,,,
b3683,,,,,
b3684,,,,,
b3685,32,,,,
b3686,,,,,
b3687,,,,,
b3688,,,,,
b3689,,,,,
b3690,,,,,
b3691,,,,,
b3693,,,,,
b3696,,,,,
b3697,970,,,1729,
b3698,633,,,,265
b3699,581,604,643,610,650
b3700,,,,,
b3701,476,468,436,389,360
b3702,43,44,43,35,31
b3703,14662,15077,13343,20768,19164
b3704,,,,,
b3705,517,576,634,577,536
b3706,107,87,79,73,77
b3707,,,,,
b3708,3773,,,,
b3709,,,,,
b3710,,,,,
b3711,,,,,
b3712,,,,,
b3713,2167,1604,1156,1013,973
b3714,,,,,
b3715,,,,,
b3716,,,,,
b3717,,,,,
b3718,,,,,
b3719,,,,,
b3720,,,,,
b3721,,,,,
b3722,,,,,
b3723,,,,,
b3724,207,196,203,188,154
b3725,,,,,
b3726,,,,,
b3727,,,,,
b3728,1068,1014,1179,1014,773
b3729,1107,1231,1349,1237,1745
b3730,186,211,249,263,315
b3731,4636,5122,5481,5023,4621
b3732,11570,13552,14835,12876,11486
b3733,2974,3276,3548,3008,2515
b3734,8580,9161,9772,8728,7187
b3735,3233,4143,3768,3367,3018
b3736,2210,2903,3165,2795,2142
b3737,,,,,
b3738,647,,,,
b3739,,,,,
b3740,,,,,
b3741,,,,,
b3742,545,668,597,603,582
b3743,,,,,
b3744,,,,,
b3745,,,,,
b3746,,,,,
b3747,,,,,
b3748,578,597,449,297,156
b3749,,,,,
b3750,,,,,
b3751,10916,10728,7870,7031,3286
b3752,123,146,137,112,83
b3753,,,,,
b3754,,,,,
b3755,,,,,
b3756,,,,,
b3758,,,,,
b3760,,,,,
b3761,,,,,
b3764,2799,2815,3211,3342,3602
b3765,,,,,
b3766,,,,,
b3769,,,,,
b3770,769,1308,1569,2175,1965
b3771,25,34,62,46,79
b3772,,,,,
b3773,,,,,
b3774,8619,10438,11862,12363,14574
b3775,1500,1498,1561,1595,1654
b3777,,,,,
b3778,,,,,
b3779,,,,,
b3780,517,489,530,504,550
b3781,9331,9205,9003,8135,8234
b3783,2499,2813,2876,2790,2721
b3784,,,,,
b3785,,,,,
b3786,,,,,
b3787,,,,,
b3788,,,,,
b3789,,,,,
b3790,,,,,
b3791,76,66,67,71,79
b3792,,,,,
b3793,,,,,
b3794,,,,,
b3795,,,,,
b3796,,,,,
b3797,,,,,
b3799,,,,,
b3800,,,,,
b3801,,,,,
b3802,142,135,129,102,90
b3803,398,386,356,295,241
b3804,43,39,27,18,15
b3805,,,,,
b3806,,,,,
b3807,357,305,267,259,288
b3809,255,270,258,229,216
b3810,,,,,
b3811,,,,,
b3812,,,,,
b3813,37,40,34,27,28
b3816,424,318,187,130,137
b3817,,,,,
b3818,,,,,
b3819,,,,,
b3820,192,218,213,174,207
b3821,,,,,
b3822,,,,,
b3823,,,,,
b3824,,,,,
b3825,,,,,
b3826,,,,,
b3827,,,,,
b3828,,,,,
b3829,6286,10855,18754,28775,23568
b3830,687,684,702,617,448
b3831,7059,6399,3783,3359,2600
b3832,,,,,
b3833,668,739,676,659,667
b3834,81,,,69,76
b3835,106,106,112,98,95
b3836,357,356,399,334,294
b3838,95,189,93,91,68
b3839,,,,,
b3842,,,,,
b3843,209,215,212,161,116
b3844,217,255,256,225,224
b3845,1519,1405,787,297,116
b3846,1900,1858,1053,389,149
b3847,1382,1470,1344,1212,951
b3848,,,,,
b3849,,,,,
b3850,59,62,58,55,62
b3851,,,,,
b3854,,,,,
b3856,,,,,
b3857,80,,65,69,56
b3858,2271,2461,2251,2131,2353
b3859,,,,,
b3860,1968,1874,2093,2000,2303
b3861,,,,,
b3862,,,,,
b3863,1006,903,835,737,756
b3864,,,,,
b3865,470,455,455,475,492
b3866,636,369,396,357,323
b3867,,,,,
b3868,,,,,
b3869,,,,,
b3870,3083,4818,6172,7702,4788
b3871,1011,1178,1443,1710,2245
b3872,,,,,
b3873,,,,,
b3874,,,,,
b3875,,,,,
b3876,,,,,
b3877,,,,,
b3878,,,,,
b3879,,,,,
b3880,,,,,
b3881,,,,,
b3882,,,,,
b3883,,,,,
b3884,,,,,
b3885,,,,,
b3886,,,,,
b3887,247,254,239,187,205
b3888,208,195,174,117,104
b3889,,,,,
b3890,,,,,
b3891,231,206,186,142,148
b3892,,,,,
b3893,,,,,
b3894,,,,,
b3895,,,,,
b3896,,,,,
b3897,,,,,
b3898,,,,,
b3899,,,,,
b3900,,,,,
b3901,,,,,
b3902,,,,,
b3903,,,,,
b3904,,,,,
b3905,,,,,
b3906,,,,,
b3907,,,,,
b3908,36449,33970,28901,24400,21787
b3909,,,,,
b3910,614,566,469,458,365
b3911,,,,,
b3912,2601,2347,1864,1439,1226
b3915,,,,,
b3916,1742,1703,1906,1819,1894
b3917,,,,,
b3918,,,,,
b3919,6590,5972,4984,4766,4717
b3920,,,,,
b3921,,,,,
b3922,404,283,217,,214
b3923,394,273,291,267,273
b3924,283,279,249,250,203
b3925,,,,,
b3926,1398,1243,744,305,143
b3927,,,,,
b3928,3292,3676,3554,3719,4072
b3929,1854,1461,1123,963,882
b3930,,,,,
b3931,706,629,705,723,782
b3932,738,709,1020,699,758
b3933,17,14,12,11,9
b3934,,,,,
b3935,,,,,
b3936,4149,4483,4789,5680,7386
b3937,,,,,
b3938,1352,1229,1368,1335,1459
b3939,500,765,928,1015,743
b3940,59,101,140,122,166
b3941,696,1020,1495,1904,1874
b3942,4443,4194,3184,2809,2990
b3943,,,,,
b3944,,,,,
b3945,66,,,,
b3946,,,,,
b3947,26,,,,
b3949,,,,,
b3950,,,,,
b3951,,,,,
b3952,,,,,
b3953,,,,,
b3954,,,,,
b3955,,,,,
b3956,2320,3073,3705,3787,4781
b3957,384,395,433,519,594
b3958,177,158,207,567,329
b3959,611,680,741,781,954
b3960,234,378,508,608,983
b3961,149,168,161,136,143
b3962,928,1157,1188,970,528
b3963,86,76,70,60,68
b3964,,,,,
b3965,29,,,,
b3966,,,,,
b3967,,,,,
b3968,,,,,
b3969,,,,,
b3970,,,,,
b3972,36,39,35,35,30
b3973,,,,,
b3974,90,105,90,70,73
b3976,,,,,
b3978,,,,,
b3979,,,,,
b3980,,,,,
b3981,,,,,
b3982,2977,2774,2858,2763,2937
b3983,8390,8905,10307,11402,13089
b3984,10781,11020,13811,14124,17193
b3985,9707,10043,11928,12987,16445
b3986,19224,18113,23137,24994,28955
b3987,3550,3804,3979,3718,3888
b3988,3072,3104,3538,3254,3287
b3989,,,,,
b3990,,,,,
b3991,404,645,1024,985,967
b3992,368,408,556,568,543
b3993,737,872,995,977,1020
b3994,422,666,906,1050,1168
b3995,1009,969,666,440,411
b3996,,,,,
b3997,391,385,361,360,384
b3998,,,,,
b3999,110,97,105,117,131
b4000,31416,31887,31138,29023,28683
b4001,,,,,
b4002,,,,,
b4003,,,,,
b4004,,,,,
b4005,471,560,693,962,1131
b4006,488,628,894,1166,1432
b4009,,,,,
b4011,,,,,
b4012,,,,,
b4013,547,682,694,671,747
b4014,8544,8793,6768,4979,3946
b4015,44419,51215,30869,16296,8302
b4016,79,76,43,,21
b4017,,,,,
b4018,,,,,
b4019,262,283,336,308,346
b4020,,,,,
b4021,427,484,329,358,150
b4022,,,,,
b4023,168,,,,
b4024,475,540,555,785,930
b4025,4021,3602,3719,3536,3406
b4026,,,,,
b4027,,,,,
b4028,,,,,
b4029,,,,,
b4030,,,,,
b4031,,,,,
b4032,,,,,
b4033,,,,,
b4034,11575,13873,11772,6517,2260
b4035,971,1272,1134,607,193
b4036,284,365,330,172,39
b4037,4289,6183,5329,3729,1519
b4038,,,,,
b4039,,,,,
b4040,,,,,
b4041,459,428,308,239,237
b4042,,,,,
b4043,123,108,102,90,93
b4044,,,,,
b4045,3816,1771,785,395,254
b4046,167,117,119,77,85
