Compound Name,Compound Id (KEGG),glc,glyc,ac,"E. coli (mM), WT(Mar), Ishii et al. 2007'","E. coli (mM), WT(Jun), Ishii et al. 2007'","E. coli (mM), WT(Jul), Ishii et al. 2007'","E. coli (mM), WT(Sep), Ishii et al. 2007'","E. coli (mM), WT(Oct), Ishii et al. 2007'","Human muscle (mM), Bergstrom et al. 1974'","S. cerevisiae (umol/G CDW), Hake Flask (n=4) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 1 (n=20) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 2 (n=20) , Ewald et al. 2009'","S. cerevisiae (mM), Glucose, Fendt et al. 2010'","S. cerevisiae (mM), Galactose, Fendt et al. 2010'","S. cerevisiae (mM), Ethanol, Fendt et al. 2010'","S. cerevisiae (mM), CEN.PK 113-7D, Kummel et al. 2010'","S. cerevisiae (mM), CEN-PK JT4, Kummel et al. 2010'","S. cerevisiae (mM), FY4, Kummel et al. 2010'","Bacillus subtilis (mM), Glucose,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 1,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 2,  Kleijn et al. 2010'"
'4-Aminobutanoate',334,nan,nan,nan,0.0416,0.0347,0.0436,0.0741,0.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'(S)-Dihydroorotate',337,0.0121,0.0236,0.0205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'6-Phospho-D-gluconate',345,3.81,4.95,3.06,nan,nan,nan,nan,nan,nan,1.58,0.71,0.6,0.87,0.9,0.07,0.76,0.751,0.489,1.13,0.76,0.22
'D-Glucosamine 6-phosphate',352,1.15,0.378,0.316,0.402,0.604,0.34,0.708,0.494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""D-Fructose 1,6-bisphosphate""'",354,15.2,5.85,nan,nan,0.0312,nan,nan,0.0207,nan,nan,nan,nan,8.76,6.93,0.18,1.543,1.511,1.017,7.63,6.23,1.54
'N-Acetyl-D-glucosamine 6-phosphate',357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dAMP',360,0.00884,nan,nan,0.0122,nan,0.0145,0.00474,0.00115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dGMP',362,0.0507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTDP',363,0.378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTMP',364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Cytosine',380,0.0141,nan,nan,0.00553,0.0048,0.00982,nan,0.00994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Guanosine',387,0.00162,nan,nan,0.019,0.019,0.0253,0.0478,0.0355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Isoleucine',407,nan,nan,nan,nan,nan,0.0331,nan,nan,0.11,0.66,0.86,0.53,nan,nan,nan,0.82,0.718,0.534,0.37,0.99,0.41
'L-Pipecolate',408,nan,nan,nan,nan,nan,0.00605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'cis-Aconitate',417,0.0161,0.0959,0.0723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'trans-Cinnamate',423,nan,nan,nan,0.0994,0.0681,0.136,0.0956,0.0702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Acetylornithine',437,0.0433,0.398,0.152,nan,0.00704,0.0141,0.0244,0.00928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Carbamoyl-L-aspartate',438,0.59,0.0902,0.0266,nan,0.609,0.562,0.441,0.446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dCTP',458,0.0352,0.083,0.146,0.0359,0.0354,0.017,0.0305,0.00804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTTP',459,4.62,0.525,0.667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Cytidine',475,0.00259,nan,nan,0.00413,nan,0.00836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Tyramine',483,nan,nan,nan,nan,nan,0.0075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Shikimate',493,0.0141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07,0.05,0.01
'ADP-glucose',498,0.00427,nan,nan,0.0126,nan,0.00715,0.0183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Deoxyadenosine',559,0.00282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
